('RIPK2', -251.7291605648934)
('SF3A3', -249.6972370154399)
('SPTAN1', -247.50952487354516)
('CTNNA1', -246.56272127156262)
('GNB2', -243.17307458794676)
('BRIX1', -242.98069805081468)
('WDR26', -241.602740089671)
('EIF1AD', -240.57930968306027)
('YTHDC1', -238.4841992269794)
('EIF3F', -238.44627263123402)
('ITM2B', -237.4427257561474)
('SRSF3', -235.79137767781503)
('LMO1', -234.92647460629814)
('BCL2L13', -232.5526825413108)
('PSMA4', -231.97032289317576)
('HNF1A', -231.08713929503574)
('TBC1D15', -230.99478467873996)
('GLYR1', -230.83484276550007)
('IL6ST', -230.6143394780811)
('CCDC8', -228.34441493067425)
('ELP2', -227.43954903169652)
('LGALS1', -226.1417918977968)
('ACTR3', -225.30641639904934)
('RAC1', -224.25287707828102)
('RPS6', -221.74639727760223)
('PSMD11', -220.83861030329717)
('TRIM4', -216.86680586342118)
('EXOC5', -216.06277846510056)
('CRKL', -215.98817023297306)
('NUB1', -215.74489716347307)
('CDC42', -215.50493752694456)
('RTN4', -213.08612663912936)
('IL32', -212.08177667946438)
('FARSA', -210.42512962123146)
('LARP1B', -210.0950332552602)
('ARMC6', -205.125095257652)
('PABPC1', -204.3052793093084)
('TCF12', -203.9197980237368)
('LIFR', -203.76740820449777)
('RBBP4', -200.4392829623539)
('HES4', -200.28941401981865)
('MAEA', -199.06265521334717)
('PTPN11', -197.78781774020172)
('ENO2', -197.37791332337656)
('NF2', -197.16511719839764)
('DDX1', -196.4048202278791)
('RNF2', -195.33415771386353)
('PPIA', -192.56704545783577)
('CTNNB1', -192.39608726435108)
('NELL1', -192.00681482403888)
('MDC1', -191.63345258811023)
('RUFY1', -191.33753381617134)
('DIAPH1', -191.2114042721514)
('TRIM11', -191.08859348666738)
('MYH9', -190.2684056715807)
('PAX6', -188.54927805054467)
('MAGED2', -188.03068005721434)
('ZEB1', -187.7637348266726)
('TRIP6', -186.38723980021314)
('IL6', -185.9206761488458)
('RANBP2', -184.12387087449315)
('KPNB1', -183.47823750021053)
('POLD2', -183.00507476821076)
('CAND1', -182.99856668160646)
('RPL8', -182.92870627663797)
('NLRP3', -181.89132253816933)
('RUVBL1', -181.20179079897935)
('UPF1', -181.05009614667506)
('RPL30', -180.86031759131583)
('LCK', -180.11224640865112)
('MTA2', -179.0386637239135)
('NR5A1', -178.9139960371249)
('TFG', -178.51994313145406)
('ATG14', -177.89968574765953)
('USP7', -177.74427459351136)
('SEPT7', -176.4338130860706)
('ATP1A1', -176.4264055948006)
('FDFT1', -175.82419721409678)
('STX11', -175.31521274900297)
('ZNF281', -175.03248443713528)
('DVL2', -172.62205550991348)
('RANBP10', -171.67581422501826)
('SEPT9', -170.90028782351874)
('CBX4', -170.50521466261125)
('PSMC5', -170.2993595941516)
('UBE2E2', -168.87518638526672)
('BYSL', -168.44974757218733)
('H1FX', -167.13572501088493)
('NEDD4', -166.15329277867568)
('MGAT5', -165.11143259631353)
('DDX3X', -163.92644946591463)
('AP1M1', -162.6282484686817)
('ERAP1', -162.23359486021218)
('ELP1', -160.22170602797996)
('YAF2', -158.5393873678695)
('MMS19', -158.42442978417967)
('NUP160', -158.4065326061973)
('PSMB4', -158.14040782532538)
('HNRNPA2B1', -157.1424406627484)
('ZCCHC3', -155.6176106731)
('GPI', -155.3480330108723)
('HSF1', -153.49927053667489)
('IL27RA', -152.4947747941187)
('P4HB', -152.42165232350817)
('GMCL1', -151.6158764010761)
('HDAC4', -151.43727156703244)
('MAPK8IP2', -150.71027157173376)
('RPN1', -150.20442456574528)
('AIMP2', -150.0544872037426)
('CSNK1E', -149.76168046836392)
('NCK2', -149.60896162089193)
('TLR3', -149.37129766438738)
('ACTL6A', -149.2753217103018)
('SET', -147.8889513690374)
('EXOSC2', -147.8306922817428)
('CREBBP', -145.5661712444562)
('CREB3', -145.24971408731653)
('HSD17B4', -144.73524645742145)
('FANCC', -144.35792584126466)
('SERPINH1', -143.74420611653477)
('LEP', -143.7374890781066)
('HIST1H2BL', -142.6358967612614)
('MAGEA11', -141.64959126382018)
('ITGAV', -141.25589041144121)
('PRKAR1A', -140.32328747402062)
('TNFRSF1B', -139.04742897942197)
('CCT5', -138.9194278465293)
('TNR', -138.81079035269795)
('DYRK1A', -138.62985607312294)
('CBL', -137.69261941028526)
('MAVS', -137.66825174578116)
('E2F1', -137.38688858153182)
('KHDRBS1', -137.3293427466997)
('ALDH3A2', -136.80978457798483)
('XRCC3', -136.50341219900292)
('EXOSC10', -136.4340261121397)
('HIF1AN', -135.73307806896628)
('SLC12A7', -135.46862755005714)
('ATL3', -135.4466798947251)
('IGKC', -134.78353375155712)
('DES', -133.02685160495457)
('ARID5A', -132.97148968675174)
('NAA10', -132.84530527572497)
('TRADD', -131.80204301935737)
('STAU1', -131.0404021051654)
('RGS1', -130.86369400675176)
('FARS2', -130.77159178472357)
('NUDCD1', -129.7557238622685)
('VPS28', -129.16015551646706)
('SLC1A5', -129.09486108529381)
('PSME2', -128.377433460264)
('CRK', -128.23781382958987)
('PALLD', -127.81097421390587)
('MYL6', -127.25585572747514)
('BUD23', -126.71519075965625)
('SIN3A', -126.36489633706515)
('SMARCA2', -126.30933458768413)
('BAG3', -126.16243815308553)
('FAM120C', -125.98560748493765)
('PRKCSH', -125.02258298551897)
('KPNA5', -123.7332080633787)
('CTTN', -123.36162333149696)
('TARS', -121.80204368464183)
('AP2B1', -121.08452506031608)
('CTSB', -121.00740960106486)
('YWHAZ', -120.67665961472085)
('GLUL', -120.5386731136532)
('PTPN2', -119.96899624334765)
('TGFB1', -119.89652323632617)
('TLE3', -119.12759886265849)
('IRF5', -118.7915376877354)
('TUBGCP4', -118.46312839409802)
('EMD', -117.98152743771789)
('ATG7', -117.6007867755252)
('A2M', -116.49769468535669)
('ATF3', -116.31621449565864)
('ACADVL', -115.78000048614922)
('INA', -115.56959744534106)
('RPN2', -115.51335667233798)
('TXLNA', -114.30628704660921)
('ATP2B4', -113.78224338163272)
('YWHAQ', -113.47304025833728)
('CPA4', -113.31712800936657)
('NRF1', -112.94508071552264)
('ACLY', -112.29255309165455)
('EBP', -111.75914288673084)
('OTUD4', -111.49114887369797)
('ATXN2', -111.45117661033873)
('HNRNPK', -111.1466859744105)
('CDK1', -111.05397246676148)
('SMURF1', -110.82590725857881)
('DNAJC10', -110.7370599489659)
('ABCC4', -110.51034660081496)
('FBLN2', -110.23913005721988)
('EIPR1', -109.97964870475698)
('CHEK2', -109.2476725068118)
('CCT6A', -109.22419114859076)
('TPI1', -108.9276095504174)
('STAT5A', -108.65598844378837)
('FADD', -108.43171884227195)
('DAG1', -107.98126270691864)
('SACM1L', -107.63440259048366)
('DCTN1', -107.06932844530093)
('CDC25B', -106.99546995054698)
('MED23', -106.9300748614769)
