Gene	JD-MD_EP-WT3_NEY922A14-9_S38	JD-MD_EP-WT2_NEY922A14-8_S37	JD-MD_EP-WT1_NEY922A14-7_S36	JD-MD_EP-KO4_NEY922A14-14_S6	JD-MD_EP-KO3_NEY922A14-13_S5	JD-MD_EP-KO2_NEY922A14-12_S4	JD-MD_EP-KO1_NEY922A14-11_S3
Polr2j	345	417	347	339	720	629	491
Polr2k	94	176	88	93	195	170	140
Polr2l	121	251	149	181	298	221	156
Polr2m	1058	839	961	877	1740	1939	1440
Polr3a	255	169	325	264	465	630	492
Polr3b	419	320	425	345	638	797	641
Polr3c	617	655	705	559	1066	1115	869
Polr3d	624	583	756	682	1089	1177	839
Polr3e	573	465	588	572	1017	1131	879
Polr3f	243	197	251	223	458	576	432
Polr3g	82	64	45	50	102	111	91
Polr3gl	222	355	205	221	435	372	248
Polr3h	52	33	47	42	86	79	72
Polr3k	330	352	339	329	567	600	456
Polrmt	113	69	83	114	223	200	177
Pom121	1449	802	1486	1126	1890	2453	1775
Pom121l12	0	0	0	0	0	0	0
Pom121l2	0	0	0	0	0	0	0
Pomc	1	2	0	3	7	8	9
Pomgnt1	427	356	490	407	853	902	630
Pomgnt2	43	13	34	35	59	52	36
Pomk	81	65	97	107	199	231	202
Pomp	2226	5731	2519	2752	5667	4795	3941
Pomt1	225	155	183	180	316	325	244
Pomt2	188	156	218	241	345	405	294
Pon1	0	3	6	5	9	4	4
Pon2	4335	4804	4215	4516	7800	8436	6043
Pon3	1609	1748	1521	1354	2691	3152	2504
Pop1	96	88	146	118	191	224	162
Pop4	486	781	521	521	1118	953	751
Pop5	146	345	182	207	384	354	234
Pop7	269	412	311	246	486	418	320
Popdc2	4	1	4	4	2	4	4
Popdc3	0	0	0	0	2	0	0
Por	2449	1844	2613	2228	4455	4356	3777
Porcn	67	50	41	58	84	88	57
Postn	0	0	1	0	2	0	2
Pot1a	193	134	169	143	258	297	239
Pot1b	303	193	288	154	299	409	298
Poteg	0	0	0	0	0	0	0
Pou1f1	0	0	0	0	0	0	0
Pou2af1	0	2	2	0	0	0	5
Pou2f1	316	245	377	237	469	652	465
Pou2f2	33	37	41	13	24	30	27
Pou2f3	0	3	0	2	2	1	0
Pou3f1	0	5	2	0	1	2	2
Pou3f2	3	0	0	2	1	0	0
Pou3f3	0	0	0	0	1	0	0
Pou3f4	0	2	0	0	0	0	0
Pou4f1	1	0	0	0	2	1	1
Pou4f2	0	0	1	0	0	0	3
Pou4f3	0	0	0	0	0	0	0
Pou5f1	0	0	0	0	0	0	0
Pou5f2	5	1	0	4	2	2	8
Pou6f1	178	122	148	124	212	295	218
Pou6f2	0	2	0	0	0	0	0
Pp2d1	0	0	0	0	1	0	0
Ppa1	317	420	315	329	733	730	573
Ppa2	354	734	339	321	626	591	447
Ppan	559	887	739	712	1112	1049	864
Ppara	0	1	14	0	1	1	0
Ppard	1152	688	1106	1066	2078	2493	2041
Pparg	3521	3999	3948	3149	5497	5910	4734
Ppargc1a	4	4	3	4	7	1	6
Ppargc1b	70	82	80	95	150	156	130
Ppat	209	173	190	207	355	356	374
Ppbp	4	5	0	4	2	3	3
Ppcdc	304	285	312	321	550	563	393
Ppcs	40	47	43	42	103	77	57
Ppdpf	209	330	229	184	396	325	246
Ppef1	4	0	2	10	7	3	2
Ppef2	32	24	25	18	35	38	33
Ppfia1	676	290	686	634	1120	1456	1058
Ppfia2	2	23	10	12	11	5	5
Ppfia3	495	672	590	436	663	590	430
Ppfia4	235	247	206	99	232	290	165
Ppfibp1	1534	806	1333	1373	2268	2994	2429
Ppfibp2	601	461	597	497	1164	1298	1083
Pphln1	1174	891	1267	1031	1622	1950	1514
Ppia	1292	1484	1385	1193	2490	2633	1961
Ppib	2947	2888	3007	2884	5413	5598	4128
Ppic	4	0	9	4	13	9	2
Ppid	799	1025	1001	864	1568	1623	1400
Ppie	261	505	315	298	575	535	413
Ppif	148	161	178	186	214	217	178
Ppifos	0	0	0	1	0	0	0
Ppig	2287	3267	2482	2226	3804	3939	3081
Ppih	148	271	165	183	347	324	232
Ppil1	209	292	216	206	434	357	257
Ppil2	1296	1113	1150	944	1929	2071	1593
Ppil3	217	310	213	202	423	453	322
Ppil4	727	599	725	589	1244	1421	1128
Ppil6	3	5	7	6	9	11	10
Ppip5k1	337	199	295	286	661	821	625
Ppip5k2	519	336	563	471	822	978	830
