TF	Gene
NR2F1	HPS6
TFAP2A	HPS6
NR1H2	HPS6
PPARG	HPS6
STAT5A	TBX6
NR2F2	TBX6
ESR2	TBX6
RXRA	TBX6
ESR1	TBX6
NR2F1	TBX6
PDX1	TBX6
POU2F2	TBX6
FOXO1	TBX6
PPARG	TBX6
POU2F1	TBX6
PPARG	RTP2
NRF1	SDHD
ELK4	SDHD
NR5A1	SDHD
EFNA2	SDHD
ESRRA	SDHD
ZNF238	SDHD
SOX9	SDHD
ZEB1	SDHD
GATA4	SDHD
SOX2	C7ORF26
SOX15	C7ORF26
SOX18	C7ORF26
SOX21	C7ORF26
SOX10	C7ORF26
SOX11	C7ORF26
SOX5	C7ORF26
SOX9	C7ORF26
SOX8	C7ORF26
SOX12	C7ORF26
SRY	C7ORF26
SOX14	C7ORF26
SOX3	C7ORF26
SOX4	C7ORF26
GATA1	DCTN3
GATA6	DCTN3
YY1	DCTN3
CDC5L	DCTN3
GATA2	DCTN3
IL10	DCTN3
GATA3	DCTN3
ZEB1	DCTN3
FOXJ1	NR2E1
FOXP3	NDUFS8
SRF	NDUFS8
SMAD4	NDUFS8
RUNX3	NDUFS8
RUNX1	NDUFS8
SP3	NDUFS8
RUNX2	NDUFS8
NFYB	NDUFS8
NFYA	NDUFS8
ETS1	NDUFS8
ARID5B	GNAI3
CNTN2	C11ORF94
CREB1	C11ORF94
CEBPA	DIAPH1
DDIT3	DIAPH1
USF1	DIAPH1
CLOCK	DIAPH1
ARNTL2	DIAPH1
ARNTL	DIAPH1
CRX	FAM131A
PAX5	FAM131A
CREM	FAM131A
PGR	FAM131A
RAX	FAM131A
ATF3	FAM131A
NR3C1	FAM131A
CREB1	FAM131A
ATF2	FAM131A
PLAU	FAM131A
E4F1	FAM131A
NHLH1	FAM131A
NR1I2	SREBF1
NR2F2	SREBF1
NR1H3	SREBF1
RARA	SREBF1
RARB	SREBF1
PAX5	SREBF1
RXRG	SREBF1
RXRA	SREBF1
NR2F1	SREBF1
TFAP2A	SREBF1
CASR	SREBF1
NR1H2	SREBF1
RARG	SREBF1
RXRB	SREBF1
E2F1	EBF3
IL6	EBF3
DSP	EBF3
SRF	EBF3
MYC	EBF3
LHX3	EBF3
MAX	EBF3
PAX6	EBF3
UBE4A	EBF3
E2F3	EBF3
TFDP1	EBF3
E2F4	EBF3
NKX3-1	CD96
FOXJ2	CD96
IRF1	CD96
CNTN2	LARP1B
CREB1	LARP1B
E2F1	ATF6B
DSP	ATF6B
RB1	ATF6B
E2F5	ATF6B
E2F2	ATF6B
E2F3	ATF6B
TFDP1	ATF6B
E2F4	ATF6B
IL6	OGDH
PAX3	OGDH
POU3F2	AIF1
POU3F1	AIF1
POU5F1	AIF1
POU4F1	AIF1
POU5F1B	AIF1
POU2F2	AIF1
POU2AF1	AIF1
POU2F1	AIF1
STAT1	VPS13B
